planner,num_agents,num_robots,f,d,completion_time,planner_time,damage,num_disabled
StaticLinePlanner,200,10,1.1,5,216.5949408488685,0.08070850372314453,48052.08441554145,23
StaticLinePlanner,200,10,1.1,5,115.34068418582713,0.07857632637023926,45711.691997536196,26
StaticLinePlanner,200,10,1.1,5,203.03655933515893,0.4501638412475586,48237.40494422838,17
StaticLinePlanner,200,10,1.1,5,155.73436502422425,0.17489862442016602,47354.24218810345,19
StaticLinePlanner,200,10,1.1,5,230.04269157130216,0.2688469886779785,48484.37098388898,22
StaticLinePlanner,200,10,1.1,5,176.0670781762017,0.13792061805725098,47966.358433161375,12
StaticLinePlanner,200,10,1.1,5,212.3859507912133,0.14092135429382324,47970.98869487078,21
StaticLinePlanner,200,10,1.1,5,191.99092255446973,0.08295273780822754,48312.171023487695,14
StaticLinePlanner,200,10,1.1,5,199.18890690515173,0.12592720985412598,48414.15925633525,16
StaticLinePlanner,200,10,1.1,5,202.79179883102302,0.09394407272338867,47509.2072414228,30
StaticLinePlanner,200,10,1.2,5,187.60641080664575,0.0568537712097168,45142.19157014196,43
StaticLinePlanner,200,10,1.2,5,159.65517919088765,0.05184197425842285,43080.24504986973,53
StaticLinePlanner,200,10,1.2,5,209.64491806047624,0.053945302963256836,45107.898329831914,53
StaticLinePlanner,200,10,1.2,5,148.53836540503156,0.046172380447387695,44494.464342136846,37
StaticLinePlanner,200,10,1.2,5,186.06727444010954,0.056192874908447266,44108.74912039181,52
StaticLinePlanner,200,10,1.2,5,159.98649749653677,0.05586385726928711,44275.42259811477,37
StaticLinePlanner,200,10,1.2,5,155.1309671576991,0.06667590141296387,44599.46904577765,36
StaticLinePlanner,200,10,1.2,5,169.06251390216724,0.07618284225463867,44882.85668758213,38
StaticLinePlanner,200,10,1.2,5,179.61361354611412,0.08342170715332031,45218.73772624798,40
StaticLinePlanner,200,10,1.2,5,167.91600727186776,0.0918123722076416,42525.17139367794,60
StaticLinePlanner,200,10,1.3,5,165.60043272940862,0.08010554313659668,42317.64116163958,57
StaticLinePlanner,200,10,1.3,5,138.26349987810337,0.0545651912689209,40008.17530885074,65
StaticLinePlanner,200,10,1.3,5,171.51175091439106,0.08009052276611328,41804.995268315535,63
StaticLinePlanner,200,10,1.3,5,192.5084548556873,0.05722808837890625,41614.30908460077,79
StaticLinePlanner,200,10,1.3,5,136.6728962366414,0.08380866050720215,41377.24165272097,53
StaticLinePlanner,200,10,1.3,5,181.06344341374248,0.08806705474853516,41965.382569332476,63
StaticLinePlanner,200,10,1.3,5,179.82448557046848,0.05882716178894043,42130.74623765481,64
StaticLinePlanner,200,10,1.3,5,165.13251354090417,0.0626516342163086,41797.76643569746,60
StaticLinePlanner,200,10,1.3,5,196.8167438900609,0.07944583892822266,41688.40418868893,81
StaticLinePlanner,200,10,1.3,5,121.00863355165198,0.1176908016204834,39532.56286004578,61
StaticLinePlanner,200,10,1.4,5,177.37423800503234,0.0759572982788086,39194.65789113613,88
StaticLinePlanner,200,10,1.4,5,165.6274807382469,0.06396222114562988,37359.49090518088,98
StaticLinePlanner,200,10,1.4,5,166.9358141436671,0.08446240425109863,39127.02302489393,81
StaticLinePlanner,200,10,1.4,5,166.0202140646744,0.14191985130310059,38451.34669440925,87
StaticLinePlanner,200,10,1.4,5,163.33506343493855,0.0799558162689209,39109.22039914127,80
StaticLinePlanner,200,10,1.4,5,158.61924999993852,0.0679774284362793,39421.11036688504,71
StaticLinePlanner,200,10,1.4,5,161.33543040074494,0.08246159553527832,39701.78788030632,73
StaticLinePlanner,200,10,1.4,5,184.1341143815247,0.11893391609191895,39504.61473204874,90
StaticLinePlanner,200,10,1.4,5,157.97758289107483,0.12193059921264648,38542.43214777106,81
StaticLinePlanner,200,10,1.4,5,159.6803659991943,0.09294676780700684,37288.22406628041,94
StaticLinePlanner,200,10,1.5,5,151.7011403439339,0.07295608520507812,36935.42529695947,88
StaticLinePlanner,200,10,1.5,5,169.08342352364267,0.07295680046081543,34691.935961901,121
StaticLinePlanner,200,10,1.5,5,160.43028643048373,0.06419110298156738,36789.61747822926,94
StaticLinePlanner,200,10,1.5,5,157.76429459134806,0.08861255645751953,36028.423614997686,99
StaticLinePlanner,200,10,1.5,5,154.0475942960285,0.059464454650878906,37055.59694074845,89
StaticLinePlanner,200,10,1.5,5,169.09275228520087,0.04970216751098633,37286.85403162553,93
StaticLinePlanner,200,10,1.5,5,166.00107742366268,0.05414438247680664,37100.080549406164,95
StaticLinePlanner,200,10,1.5,5,177.72039381547194,0.056438446044921875,36751.984258463475,108
StaticLinePlanner,200,10,1.5,5,134.5538083075505,0.02897930145263672,36810.258579925096,80
StaticLinePlanner,200,10,1.5,5,136.11630165462208,0.036977291107177734,35073.202017890624,94
StaticLinePlanner,200,10,1.6,5,175.97840716768042,0.031981706619262695,34739.32050483571,123
StaticLinePlanner,200,10,1.6,5,153.7479114063484,0.06596255302429199,32398.214545932773,124
StaticLinePlanner,200,10,1.6,5,161.94503401080686,0.04666781425476074,34590.232718703126,111
StaticLinePlanner,200,10,1.6,5,174.05924577422715,0.05007052421569824,33994.586993761804,128
StaticLinePlanner,200,10,1.6,5,135.95037737163474,0.05006909370422363,35444.944634477404,89
StaticLinePlanner,200,10,1.6,5,149.48266686558392,0.08340644836425781,35463.116087601156,93
StaticLinePlanner,200,10,1.6,5,146.7155511842901,0.04782223701477051,35267.955556665765,95
StaticLinePlanner,200,10,1.6,5,157.74809356998566,0.033483028411865234,34594.975831950964,108
StaticLinePlanner,200,10,1.6,5,160.00494799248355,0.05116391181945801,34655.31874268249,110
StaticLinePlanner,200,10,1.6,5,160.41047494619733,0.06657862663269043,33610.21904363241,121
StaticLinePlanner,200,10,1.7,5,163.67096820370605,0.055433034896850586,32681.13241096943,127
StaticLinePlanner,200,10,1.7,5,157.01433279430762,0.04804682731628418,30518.849808110415,140
StaticLinePlanner,200,10,1.7,5,158.05525047850236,0.037436485290527344,32883.69756019785,120
StaticLinePlanner,200,10,1.7,5,157.96379027606713,0.048093557357788086,31934.36868999732,128
StaticLinePlanner,200,10,1.7,5,157.96760848551725,0.050286293029785156,33720.14589373075,115
StaticLinePlanner,200,10,1.7,5,158.02856231224618,0.03397369384765625,33704.10394666226,111
StaticLinePlanner,200,10,1.7,5,132.88693387019987,0.05629253387451172,33954.236911827196,95
StaticLinePlanner,200,10,1.7,5,143.34860218204057,0.05004405975341797,33039.830762052894,108
StaticLinePlanner,200,10,1.7,5,163.9649734228558,0.05777692794799805,32783.32439885198,127
StaticLinePlanner,200,10,1.7,5,145.53612424213836,0.05554604530334473,31810.422608441273,121
StaticLinePlanner,200,10,1.8,5,154.3935502033308,0.04803967475891113,31066.78824494757,130
StaticLinePlanner,200,10,1.8,5,154.12512317807423,0.0623631477355957,28949.046289943224,148
StaticLinePlanner,200,10,1.8,5,145.90884629992,0.07374811172485352,31426.12905876796,120
StaticLinePlanner,200,10,1.8,5,150.16078054894018,0.07095956802368164,30336.950027011386,132
StaticLinePlanner,200,10,1.8,5,157.63179928858668,0.05596637725830078,32261.11885569819,125
StaticLinePlanner,200,10,1.8,5,165.16858011288332,0.03347492218017578,31936.649153406695,130
StaticLinePlanner,200,10,1.8,5,155.88241347004535,0.029870271682739258,32398.459090432014,121
StaticLinePlanner,200,10,1.8,5,146.83990735793523,0.02698349952697754,31444.32633630561,121
StaticLinePlanner,200,10,1.8,5,151.3116012028004,0.026996374130249023,31176.346126904948,127
StaticLinePlanner,200,10,1.8,5,151.60858027041573,0.02798771858215332,30331.697332355954,136
StaticLinePlanner,200,10,1.9,5,157.3025448643346,0.025983572006225586,29592.955468249576,143
StaticLinePlanner,200,10,1.9,5,144.54544811145288,0.08195018768310547,27531.254380083265,148
StaticLinePlanner,200,10,1.9,5,170.53534284574053,0.09994316101074219,29989.83708050116,154
StaticLinePlanner,200,10,1.9,5,140.54818137955178,0.07895469665527344,29068.086936652115,132
StaticLinePlanner,200,10,1.9,5,152.92735777371922,0.05296826362609863,30939.336968572654,130
StaticLinePlanner,200,10,1.9,5,158.4955364024591,0.05596208572387695,30503.514607972735,134
StaticLinePlanner,200,10,1.9,5,153.1374753522318,0.06296300888061523,31040.090138903284,128
StaticLinePlanner,200,10,1.9,5,137.4088515025126,0.0419766902923584,30464.335432481348,120
StaticLinePlanner,200,10,1.9,5,168.4972080894131,0.05396866798400879,29685.07253965068,155
StaticLinePlanner,200,10,1.9,5,141.84051642280966,0.04097700119018555,29003.240649081526,136
StaticLinePlanner,200,10,2.0,5,148.64156934054446,0.05496835708618164,28354.435968347585,143
StaticLinePlanner,200,10,2.0,5,136.87497596001444,0.057965993881225586,26396.024501670374,148
StaticLinePlanner,200,10,2.0,5,161.1447866395787,0.08195281028747559,28543.69142475224,154
StaticLinePlanner,200,10,2.0,5,137.55389093793707,0.059966087341308594,28023.779622001275,136
StaticLinePlanner,200,10,2.0,5,144.87796089882352,0.07895731925964355,29738.120638407894,131
StaticLinePlanner,200,10,2.0,5,149.6997239062793,0.04497170448303223,29174.67020521876,135
StaticLinePlanner,200,10,2.0,5,174.8198705088523,0.11093688011169434,29443.163353065967,163
StaticLinePlanner,200,10,2.0,5,131.3144477533368,0.13734960556030273,29398.484465718146,122
StaticLinePlanner,200,10,2.0,5,159.16860979306355,0.05087113380432129,28239.139803716498,155
StaticLinePlanner,200,10,2.0,5,133.61215185759104,0.0489041805267334,27884.183068211794,136
BottomUpScannerPlanner,200,10,1.1,5,278.4027101099765,0.009994983673095703,47108.47160086814,28
BottomUpScannerPlanner,200,10,1.1,5,275.5875775738248,0.010670661926269531,43529.44092464575,50
BottomUpScannerPlanner,200,10,1.1,5,278.4506534945177,0.002996206283569336,47052.207422125175,32
BottomUpScannerPlanner,200,10,1.1,5,273.6322497352827,0.00699305534362793,45974.53486876558,38
BottomUpScannerPlanner,200,10,1.1,5,282.88577907264573,0.014988899230957031,47377.556845245475,32
BottomUpScannerPlanner,200,10,1.1,5,280.87805973647073,0.014993429183959961,46675.072650775386,35
BottomUpScannerPlanner,200,10,1.1,5,281.08484328009337,0.006003856658935547,46622.744490987636,36
BottomUpScannerPlanner,200,10,1.1,5,282.46127756940297,0.012006521224975586,47445.2682859153,32
BottomUpScannerPlanner,200,10,1.1,5,281.39230677963826,0.013992071151733398,47123.343011695484,30
BottomUpScannerPlanner,200,10,1.1,5,278.83022340550764,0.006995677947998047,45566.24204343237,50
BottomUpScannerPlanner,200,10,1.2,5,257.84770362621805,0.006997108459472656,42020.71794039954,71
BottomUpScannerPlanner,200,10,1.2,5,253.88855832117886,0.01604461669921875,37525.45938812165,93
BottomUpScannerPlanner,200,10,1.2,5,257.77984973932934,0.011979818344116211,41401.19697748945,74
BottomUpScannerPlanner,200,10,1.2,5,257.0670801785011,0.009963274002075195,40258.087283941306,83
BottomUpScannerPlanner,200,10,1.2,5,263.424694692657,0.0039980411529541016,40986.452564246814,79
BottomUpScannerPlanner,200,10,1.2,5,257.8523636297966,0.006991386413574219,40908.61715417905,73
BottomUpScannerPlanner,200,10,1.2,5,260.91432760785284,0.012220144271850586,41119.52004744972,74
BottomUpScannerPlanner,200,10,1.2,5,258.4750273763867,0.009995460510253906,42215.73609362884,70
BottomUpScannerPlanner,200,10,1.2,5,254.24290797720235,0.019570589065551758,41230.42199873854,81
BottomUpScannerPlanner,200,10,1.2,5,250.69315774535133,0.00995779037475586,38039.335193091094,94
BottomUpScannerPlanner,200,10,1.3,5,243.31320247078762,0.025153160095214844,36752.09795110624,113
BottomUpScannerPlanner,200,10,1.3,5,234.5662896820099,0.029531240463256836,31560.45885369134,140
BottomUpScannerPlanner,200,10,1.3,5,240.03080620736532,0.02009296417236328,35848.12735082461,116
BottomUpScannerPlanner,200,10,1.3,5,239.84244587393675,0.015009164810180664,34613.63338942854,124
BottomUpScannerPlanner,200,10,1.3,5,244.4153338794478,0.0059986114501953125,35977.53997457973,109
BottomUpScannerPlanner,200,10,1.3,5,240.2598014978514,0.007712364196777344,35806.413459556425,110
BottomUpScannerPlanner,200,10,1.3,5,242.97929052684768,0.019999265670776367,35994.05664618334,108
BottomUpScannerPlanner,200,10,1.3,5,243.38171454576636,0.014991283416748047,37212.518567335435,111
BottomUpScannerPlanner,200,10,1.3,5,241.84655928444388,0.004998207092285156,35641.09568970006,115
BottomUpScannerPlanner,200,10,1.3,5,238.56543639750123,0.011993169784545898,32330.95496075363,129
BottomUpScannerPlanner,200,10,1.4,5,227.00684615617672,0.003997325897216797,31810.233889730727,147
BottomUpScannerPlanner,200,10,1.4,5,218.73384727801022,0.010994911193847656,26443.16671372328,166
BottomUpScannerPlanner,200,10,1.4,5,225.15749350565304,0.013559579849243164,30967.568400650707,148
BottomUpScannerPlanner,200,10,1.4,5,224.01317954748217,0.012990474700927734,29645.633343821657,153
BottomUpScannerPlanner,200,10,1.4,5,228.22904679144642,0.006003856658935547,31513.60987122588,139
BottomUpScannerPlanner,200,10,1.4,5,223.59341137386272,0.008994340896606445,31034.36312378251,144
BottomUpScannerPlanner,200,10,1.4,5,226.5516684006235,0.008993864059448242,31445.73562269262,141
BottomUpScannerPlanner,200,10,1.4,5,229.72981044331354,0.011992216110229492,32725.481405172086,138
BottomUpScannerPlanner,200,10,1.4,5,225.33365610300262,0.012304544448852539,30585.703008159104,156
BottomUpScannerPlanner,200,10,1.4,5,222.0015114716032,0.004995584487915039,27620.831833925655,154
BottomUpScannerPlanner,200,10,1.5,5,212.72713939073924,0.004996061325073242,27690.500397066993,169
BottomUpScannerPlanner,200,10,1.5,5,204.50763478660411,0.0049953460693359375,22221.141984844115,190
BottomUpScannerPlanner,200,10,1.5,5,211.08053542083093,0.004996061325073242,26619.316071016714,179
BottomUpScannerPlanner,200,10,1.5,5,209.20140041515634,0.050688743591308594,25437.20049893739,181
BottomUpScannerPlanner,200,10,1.5,5,213.464481604523,0.003981351852416992,27625.95263399884,166
BottomUpScannerPlanner,200,10,1.5,5,208.48711135555266,0.005997657775878906,26752.157817326355,172
BottomUpScannerPlanner,200,10,1.5,5,210.3349120567546,0.006744861602783203,27192.649404098134,176
BottomUpScannerPlanner,200,10,1.5,5,214.1942742012607,0.012148141860961914,28888.625719888754,164
BottomUpScannerPlanner,200,10,1.5,5,211.08549620770597,0.007421255111694336,26145.62524981238,177
BottomUpScannerPlanner,200,10,1.5,5,207.78464553073553,0.008988142013549805,23665.488772654437,177
BottomUpScannerPlanner,200,10,1.6,5,200.7309363551147,0.007744312286376953,24069.280788825206,195
BottomUpScannerPlanner,200,10,1.6,5,179.08256250889923,0.005996227264404297,18772.125191170486,200
BottomUpScannerPlanner,200,10,1.6,5,196.3215141972081,0.0059967041015625,22810.10335585949,200
BottomUpScannerPlanner,200,10,1.6,5,192.66877940366965,0.005994558334350586,21737.150941140757,200
BottomUpScannerPlanner,200,10,1.6,5,198.9304099444397,0.004995822906494141,23924.87155880794,198
