planner,num_agents,num_robots,f,d,completion_time,planner_time,damage,num_disabled
StaticLineLackPlanner,200,2,2.0,5,172.50107175645297,157.04253435134888,44238.135647440446,45
StaticLineLackPlanner,200,2,2.0,5,149.3479346473245,153.98746991157532,43911.56715585946,44
StaticLineLackPlanner,200,2,2.0,5,130.14905910300976,157.0653371810913,43776.92041059525,36
StaticLineLackPlanner,200,2,2.0,5,141.00946894935896,161.29890298843384,44093.751086422744,38
StaticLineLackPlanner,200,2,2.0,5,169.36869375011713,160.43189120292664,44196.8185763634,45
StaticLineLackPlanner,200,2,2.0,5,174.5253312173399,159.5180299282074,43935.69999910073,44
StaticLineLackPlanner,200,2,2.0,5,170.99225403294278,156.06214118003845,44281.163092410694,43
StaticLineLackPlanner,200,2,2.0,5,120.2445614767681,161.4408140182495,44097.76136366269,32
StaticLineLackPlanner,200,2,2.0,5,147.52738502738595,158.1484169960022,43783.10998879917,41
StaticLineLackPlanner,200,2,2.0,5,158.40394837763776,157.14344573020935,44810.319991993245,40
StaticLineLackPlanner,200,2,2.0,5,139.592279533218,155.29242491722107,44286.952389805745,37
StaticLineLackPlanner,200,2,2.0,5,144.25312445050264,156.10916304588318,44003.99570032953,37
StaticLineLackPlanner,200,2,2.0,5,146.00894064496143,153.9742786884308,43627.83813239155,40
StaticLineLackPlanner,200,2,2.0,5,168.67274478909658,156.10524916648865,44861.88386544554,39
StaticLineLackPlanner,200,2,2.0,5,132.92330343940458,156.8952579498291,44547.949856968255,31
StaticLineLackPlanner,200,2,2.0,5,141.81587844611005,163.09742903709412,43027.69708775989,43
StaticLineLackPlanner,200,2,2.0,5,135.78901557497994,154.92503905296326,44917.22487366579,34
StaticLineLackPlanner,200,2,2.0,5,120.31025677719474,156.2765336036682,44367.00278019766,32
StaticLineLackPlanner,200,2,2.0,5,162.58638952205118,153.99092388153076,43778.37566415622,45
StaticLineLackPlanner,200,2,2.0,5,133.1635260150237,157.9963140487671,43947.54618744153,38
StaticLineLackPlanner,200,2,2.0,5,155.66444948958716,158.48274183273315,43874.04385135851,43
StaticLineLackPlanner,200,2,2.0,5,143.88447759286407,154.64812016487122,44111.90532797439,38
StaticLineLackPlanner,200,2,2.0,5,144.9485554111584,157.0848491191864,44623.352005566136,36
StaticLineLackPlanner,200,2,2.0,5,154.9066068381992,161.92238402366638,43589.194662604394,43
StaticLineLackPlanner,200,2,2.0,5,125.31789066531778,157.99893188476562,43634.400294278064,31
StaticLineLackPlanner,200,2,2.0,5,123.12586923612673,156.49405097961426,44288.075796299454,31
StaticLineLackPlanner,200,2,2.0,5,126.38194140026667,157.52905297279358,44725.207887786295,33
StaticLineLackPlanner,200,2,2.0,5,152.4763084226339,157.89959907531738,43850.0823061665,41
StaticLineLackPlanner,200,2,2.0,5,172.48388302683398,155.24552488327026,44352.57667493383,45
StaticLineLackPlanner,200,2,2.0,5,166.9636890137567,157.53455591201782,44060.720990956506,44
StaticLineLackPlanner,200,3,2.0,5,142.71037148453036,240.68412899971008,41955.23090294272,51
StaticLineLackPlanner,200,3,2.0,5,149.44302542206435,233.83247423171997,41368.99377629474,61
StaticLineLackPlanner,200,3,2.0,5,130.14905910300976,237.7539939880371,41233.71222926373,51
StaticLineLackPlanner,200,3,2.0,5,141.97435261314294,243.49197697639465,41410.38978538102,55
StaticLineLackPlanner,200,3,2.0,5,169.36869375011713,240.96715021133423,41869.053562701796,63
StaticLineLackPlanner,200,3,2.0,5,145.06302996219128,242.2522521018982,41400.620966194416,52
StaticLineLackPlanner,200,3,2.0,5,165.4886634273512,240.39384198188782,41097.04266599261,65
StaticLineLackPlanner,200,3,2.0,5,120.2445614767681,251.19950127601624,41601.12533775599,46
StaticLineLackPlanner,200,3,2.0,5,144.08781301499295,245.34403705596924,41152.196836898,57
StaticLineLackPlanner,200,3,2.0,5,152.47530603208972,243.38657975196838,42242.165779192524,56
StaticLineLackPlanner,200,3,2.0,5,139.592279533218,242.31222581863403,41729.16765574832,53
StaticLineLackPlanner,200,3,2.0,5,144.25312445050264,240.70836997032166,41536.04687065694,53
StaticLineLackPlanner,200,3,2.0,5,153.9348597912703,238.0652310848236,41471.27728369176,57
StaticLineLackPlanner,200,3,2.0,5,169.77797248858047,243.13859605789185,42178.036305856316,60
StaticLineLackPlanner,200,3,2.0,5,149.47203471205452,243.2610878944397,42352.49432858491,49
StaticLineLackPlanner,200,3,2.0,5,142.08882857748722,250.7625870704651,40672.41730513975,58
StaticLineLackPlanner,200,3,2.0,5,135.37591171002578,238.03375220298767,42594.548868366706,48
StaticLineLackPlanner,200,3,2.0,5,127.5903382192695,242.6461968421936,41997.34219622896,47
StaticLineLackPlanner,200,3,2.0,5,162.58638952205118,237.35294222831726,41324.788507536214,63
StaticLineLackPlanner,200,3,2.0,5,139.05992911654084,245.75305891036987,41225.23259414765,56
